year,month,search_count,rank
2019,2,260,1.0
2019,10,349,3.0
2019,11,349,3.0
2019,8,364,4.0
2019,7,372,5.0
2019,12,376,6.0
2019,4,405,7.0
2019,5,425,8.0
2019,6,459,10.0
2019,9,459,10.0
2019,3,506,11.0
2020,1,298,1.0
2020,12,300,2.0
2020,2,305,3.0
2020,9,331,4.0
2020,10,363,5.0
2020,11,395,6.0
2020,6,429,7.0
2020,4,439,8.0
2020,7,457,9.0
2020,3,473,10.0
2020,8,563,11.0
2020,5,673,12.0
2021,12,323,1.0
2021,1,331,2.0
2021,9,333,3.0
2021,2,341,5.0
2021,11,341,5.0
2021,3,399,6.0
2021,4,424,7.0
2021,8,460,8.0
2021,10,467,9.0
2021,7,474,10.0
2021,6,517,11.0
2021,5,599,12.0
2022,12,289,1.0
2022,11,324,2.0
2022,2,333,3.0
2022,9,354,4.0
2022,3,394,5.0
2022,6,396,6.0
2022,4,403,7.0
2022,10,415,8.0
2022,8,427,9.0
2022,1,446,10.0
2022,7,617,11.0
2022,5,643,12.0
2023,2,319,1.0
2023,3,326,2.0
2023,11,357,3.0
2023,9,361,4.0
2023,1,371,5.0
2023,8,398,6.0
2023,12,455,7.0
2023,6,475,8.0
2023,7,556,9.0
2023,10,581,10.0
2023,4,640,11.0
2023,5,646,12.0
2024,1,303,1.0
