,brand
0,NESPRESSO
1,FISHER & PAYKEL
2,FISHER PAYKEL
3,SONOS
4,HITACHI
5,MICROSOFT
6,DYAD
7,MAUI
8,BALMUDA
9,GRANT
10,IRIS
11,MISTRAL
12,WHIRLPOOL
13,VALENTIN
14,SWANLEY
15,CORELLE
16,GE
17,FUJIOH
18,TAKAHI
19,BRANDT
20,TCL
21,BL
22,AIKEN
23,RASLOK
24,NORTHBAYOU
25,DE
26,JBL
27,B&O
28,IGLOOHOME
29,ELBA
30,KIIZON
31,AXTON
32,SHARK
33,ROMMELSBAC
34,EMILIO
35,KDK
36,TRIBIT
37,VINTEC
38,TEAK
39,LEIFHEIT
40,XIAOMI
41,KARCHER
42,AIRBOT
43,OTIMMO
44,VAGO
45,ODETTE
46,KOIZUMI
47,CUISINART
48,CANDY
49,NESCAFE
50,FOTILE
51,GOOGLE
52,TOWER
53,CORNELL
54,YEEDI
55,JOYOUNG
56,GURU
57,MAYER
58,ARISTON
59,ROBOROCK
60,PHILIPS
61,NINJA
62,DENON
63,ECOVACS
64,LAIFEN
65,TOSHIBA
66,SMEG
67,MARSHALL
68,TECNOGAS
69,LEVOIT
70,ZOJIRUSHI
71,SONY
72,BRAUN
73,FUJITSU
74,PANASONIC
75,HISENSE
76,MIELE
77,D'FAN
78,COOLZY
79,BEKO
80,QUEENIE
81,FANZTEC
82,MORRIES
83,SK MAGIC
84,SWITCHBOT
85,ROMMELSBACHER
86,TP-LINK
87,MUZEN
88,DREAME
89,VAX
90,TAPO
91,BESTAR
92,SOUNDTEOH
93,HOOVER
94,TOYOMI
95,MIDDLETON
96,EUROPACE
97,AIWA
98,SOLIS
99,ZYLAS
100,INXUS
101,BEVERLY
102,APPLE
103,KENWOOD
104,FUNKE
105,AVOLTA
106,HARTLEY
107,YAMAHA
108,TECNO
109,MIDEA
110,BEOSOUND
111,BERTAZZONI
112,JOGEN
113,KALOC
114,ELECOM
115,LOCKLY
116,EF
117,AOC
118,HIZERO
119,FUNBIZ
120,SHARP
121,HARMAN
122,HARRINGTON
123,DAIKIN
124,REECE
125,TITAN
126,PURLEY
127,TRUSENS
128,CREATIVE
129,SHOWY
130,WMF
131,HONEYWELL
132,ROWENTA
133,IROBOT
134,LG
135,AUDIO-TECHNICA
136,OHYAMA
137,KADEKA
138,CUCKOO
139,BLUEWATER
140,DELONGHI
141,INCANTO
142,BOSCH
143,NEWMEDIA
144,SEVERIN
145,TECHNICA
146,WILLEN
147,BARRY
148,BECKMANN
149,ORETA
150,TIGER
151,PHILIP
152,BLUEAIR
153,ULTIMATEHOME
154,DR BECKMANN
155,FANCO
156,EPSON
157,BRUNO
158,BREVILLE
159,AIRLEO
160,SOOCAS
161,ELECTROLUX
162,VIOMI
163,DRACO
164,TURBO
165,NOVITA
166,MITSUBISHI
167,PUREFLOW
168,MITSUBISHI
169,DYSON
170,BIOSYSTEM
171,SAMSUNG
172,TINECO
173,SONA
174,TEFAL
175,BEOPLAY
